id,lemma,pos,senseKey,sourceCefr,cefrBandCandidate,primaryStageCandidate,levelBasis,primaryTopic,vocabularyLane,variants,sourceTopics,status,reviewStatus,reviewNeeds
pv_if_conjunction,if,conjunction,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_ill_adjective,ill,adjective,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_imagine_verb,imagine,verb,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_impatient_adjective,impatient,adjective,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_important_adjective,important,adjective,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_impossible_adjective,impossible,adjective,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_impress_verb,impress,verb,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_improve_verb,improve,verb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_in_preposition,in,preposition,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_include_verb,include,verb,unspecified,A2,A2,A2_1,primary_curriculum_decision,social_emotional,social_emotional,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
